Title,Reference number,Published,Last updated
Transurethral water-jet ablation for lower urinary tract symptoms caused by benign prostatic hyperplasia,IPG770,14-Sep-23,14-Sep-23
Cryotherapy for chronic rhinitis,IPG771,14-Sep-23,14-Sep-23
Cirrhosis in over 16s: assessment and management,NG50,06-Jul-16,08-Sep-23
Mavacamten for treating symptomatic obstructive hypertrophic cardiomyopathy,TA913,06-Sep-23,06-Sep-23
Spinal metastases and metastatic spinal cord compression,NG234,06-Sep-23,06-Sep-23
Spinal metastases and metastatic spinal cord compression,QS56,27-Feb-14,06-Sep-23
Guided self-help digital cognitive behavioural therapy for children and young people with mild to moderate symptoms of anxiety or low mood: early value assessment,HTE3,08-Feb-23,05-Sep-23
Semaglutide for managing overweight and obesity,TA875,08-Mar-23,04-Sep-23
Otitis media with effusion in under 12s,NG233,30-Aug-23,30-Aug-23
Quantitative faecal immunochemical testing to guide colorectal cancer pathway referral in primary care,DG56,24-Aug-23,24-Aug-23
Ectopic pregnancy and miscarriage: diagnosis and initial management,NG126,17-Apr-19,23-Aug-23
Cipaglucosidase alfa with miglustat for treating late-onset Pompe disease,TA912,15-Aug-23,15-Aug-23
Genedrive MT-RNR1 ID Kit for detecting a genetic variant to guide antibiotic use and prevent hearing loss in babies: early value assessment,HTE6,30-Mar-23,10-Aug-23
Aortic valve reconstruction with glutaraldehyde-treated autologous pericardium for aortic valve disease,IPG769,09-Aug-23,09-Aug-23
"Venous thromboembolic diseases: diagnosis, management and thrombophilia testing",NG158,26-Mar-20,02-Aug-23
Selpercatinib for untreated RET fusion-positive advanced non-small-cell lung cancer,TA911,26-Jul-23,26-Jul-23
Afamelanotide for treating erythropoietic protoporphyria,HST27,26-Jul-23,26-Jul-23
KardiaMobile for detecting atrial fibrillation,MTG64,06-Jan-22,25-Jul-23
Semaglutide for managing overweight and obesity in young people aged 12 to 17 years (terminated appraisal),TA910,13-Jul-23,13-Jul-23
Lorlatinib for untreated ALK-positive advanced non-small-cell lung cancer,TA909,12-Jul-23,12-Jul-23
Alcohol-use disorders: diagnosis and management,QS11,24-Aug-11,06-Jul-23
Rimegepant for preventing migraine,TA906,05-Jul-23,05-Jul-23
"Olaparib for maintenance treatment of relapsed, platinum-sensitive ovarian, fallopian tube or peritoneal cancer after 2 or more courses of platinum-based chemotherapy",TA908,05-Jul-23,05-Jul-23
AI-derived computer-aided detection (CAD) software for detecting and measuring lung nodules in CT scan images,DG55,05-Jul-23,05-Jul-23
Irreversible electroporation for treating prostate cancer,IPG768,05-Jul-23,05-Jul-23
Oesophago-gastric cancer: assessment and management in adults,NG83,24-Jan-18,04-Jul-23
Depression in adults,QS8,29-Mar-11,29-Jun-23
Deucravacitinib for treating moderate to severe plaque psoriasis,TA907,28-Jun-23,28-Jun-23
Botulinum toxin type A injections into the urethral sphincter for idiopathic chronic non-obstructive urinary retention,IPG766,28-Jun-23,28-Jun-23
Radiofrequency denervation for osteoarthritic knee pain,IPG767,28-Jun-23,28-Jun-23
Endoscopic ultrasound-guided gallbladder drainage for acute cholecystitis when surgery is not an option,IPG764,22-Jun-23,22-Jun-23
Minimally invasive fusionless posterior-approach surgery to correct idiopathic scoliosis in children and young people,IPG765,22-Jun-23,22-Jun-23
Dapagliflozin for treating chronic heart failure with preserved or mildly reduced ejection fraction,TA902,21-Jun-23,21-Jun-23
Darolutamide with androgen deprivation therapy and docetaxel for treating hormone-sensitive metastatic prostate cancer,TA903,21-Jun-23,21-Jun-23
Pembrolizumab with lenvatinib for previously treated advanced or recurrent endometrial cancer,TA904,21-Jun-23,21-Jun-23
Upadacitinib for previously treated moderately to severely active Crohn's disease,TA905,21-Jun-23,21-Jun-23
Cemiplimab for treating recurrent or metastatic cervical cancer (terminated appraisal),TA901,20-Jun-23,20-Jun-23
MiraQ cardiac TTFM with high-frequency probe for assessing graft flow during coronary artery bypass graft surgery,MIB323,20-Jun-23,20-Jun-23
Dabrafenib plus trametinib for treating BRAF V600 mutation-positive advanced non-small-cell lung cancer,TA898,14-Jun-23,14-Jun-23
Tixagevimab plus cilgavimab for preventing COVID-19,TA900,14-Jun-23,14-Jun-23
YOURmeds for medication support in long-term conditions,MIB289,15-Mar-22,09-Jun-23
Axicabtagene ciloleucel for treating relapsed or refractory follicular lymphoma,TA894,07-Jun-23,07-Jun-23
Axicabtagene ciloleucel for treating relapsed or refractory diffuse large B-cell lymphoma after first-line chemoimmunotherapy,TA895,07-Jun-23,07-Jun-23
Bulevirtide for treating chronic hepatitis D,TA896,07-Jun-23,07-Jun-23
Brexucabtagene autoleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people 26 years and over,TA893,07-Jun-23,07-Jun-23
FibroScan for assessing liver fibrosis and cirrhosis outside secondary and specialist care,DG48,07-Jun-23,07-Jun-23
Atopic eczema in under 12s: diagnosis and management,CG57,12-Dec-07,07-Jun-23
Daratumumab with bortezomib and dexamethasone for previously treated multiple myeloma,TA897,06-Jun-23,06-Jun-23
Esketamine for treating major depressive disorder in adults at imminent risk of suicide (terminated appraisal),TA899,06-Jun-23,06-Jun-23
Intraoperative electron beam radiotherapy for locally advanced and locally recurrent colorectal cancer,IPG763,06-Jun-23,06-Jun-23
Proov Confirm for ovulation confirmation,MIB322,06-Jun-23,06-Jun-23
Transperineal biopsy for diagnosing prostate cancer,DG54,01-Jun-23,01-Jun-23
Ibrutinib with venetoclax for untreated chronic lymphocytic leukaemia,TA891,31-May-23,31-May-23
Mosunetuzumab for treating relapsed or refractory follicular lymphoma,TA892,31-May-23,31-May-23
Automated ankle brachial pressure index measurement devices to detect peripheral arterial disease in people with leg ulcers,DG52,24-May-23,24-May-23
MRI fusion biopsy systems for diagnosing prostate cancer,DG53,24-May-23,24-May-23
Intramuscular diaphragm stimulation for ventilator-dependent chronic respiratory failure from high spinal cord injuries,IPG762,24-May-23,24-May-23
Cardiovascular risk assessment and lipid modification,QS100,04-Sep-15,24-May-23
Head injury,QS74,23-Oct-14,18-May-23
Head injury: assessment and early management,NG232,18-May-23,18-May-23
Risankizumab for previously treated moderately to severely active Crohn's disease,TA888,17-May-23,17-May-23
Ciltacabtagene autoleucel for treating relapsed or refractory multiple myeloma (terminated appraisal),TA889,17-May-23,17-May-23
Difelikefalin for treating pruritus in people having haemodialysis,TA890,17-May-23,17-May-23
Diabetes (type 1 and type 2) in children and young people: diagnosis and management,NG18,01-Aug-15,11-May-23
Olaparib for adjuvant treatment of BRCA mutation-positive HER2-negative high-risk early breast cancer after chemotherapy,TA886,10-May-23,10-May-23
Olaparib for previously treated BRCA mutation-positive hormone-relapsed metastatic prostate cancer,TA887,10-May-23,10-May-23
Point-of-care tests for urinary tract infections to improve antimicrobial prescribing: early value assessment,HTE7,04-May-23,04-May-23
Ripretinib for treating advanced gastrointestinal stromal tumour after 3 or more treatments,TA881,03-May-23,03-May-23
Voclosporin with mycophenolate mofetil for treating lupus nephritis,TA882,03-May-23,03-May-23
Tafasitamab with lenalidomide for treating relapsed or refractory diffuse large B-cell lymphoma,TA883,03-May-23,03-May-23
Capmatinib for treating advanced non-small-cell lung cancer with MET exon 14 skipping (terminated appraisal),TA884,03-May-23,03-May-23
Metastatic malignant disease of unknown primary origin in adults: diagnosis and management,CG104,26-Jul-10,26-Apr-23
Fasciotens for abdominal wall closure,MIB321,25-Apr-23,25-Apr-23
Tezepelumab for treating severe asthma,TA880,20-Apr-23,20-Apr-23
Lumasiran for treating primary hyperoxaluria type 1,HST25,19-Apr-23,19-Apr-23
Onasemnogene abeparvovec for treating spinal muscular atrophy,HST15,07-Jul-21,19-Apr-23
Eladocagene exuparvovec for treating aromatic L-amino acid decarboxylase deficiency,HST26,19-Apr-23,19-Apr-23
Onasemnogene abeparvovec for treating presymptomatic spinal muscular atrophy,HST24,19-Apr-23,19-Apr-23
Daytime intraoral neuromuscular electrical tongue stimulation using a removable device for obstructive sleep apnoea,IPG760,19-Apr-23,19-Apr-23
Endoscopic ultrasound-guided biliary drainage for biliary obstruction,IPG761,19-Apr-23,19-Apr-23
Hypertension in pregnancy: diagnosis and management,NG133,25-Jun-19,17-Apr-23
AposHealth for knee osteoarthritis,MTG76,11-Apr-23,11-Apr-23
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic gastric or gastro-oesophageal junction cancer after anti-HER2 treatment (terminated appraisal),TA879,06-Apr-23,06-Apr-23
Radiofrequency ablation as an adjunct to balloon kyphoplasty or percutaneous vertebroplasty for palliation of painful spinal metastases,IPG759,05-Apr-23,05-Apr-23
Percutaneous thoracic duct embolisation for persistent chyle leak,IPG755,05-Apr-23,05-Apr-23
Focal therapy using high-intensity focused ultrasound for localised prostate cancer,IPG756,05-Apr-23,05-Apr-23
Maximal cytoreductive surgery for advanced ovarian cancer,IPG757,05-Apr-23,05-Apr-23
Radiofrequency ablation for palliation of painful spinal metastases,IPG758,05-Apr-23,05-Apr-23
UrgoStart for treating diabetic foot ulcers and leg ulcers,MTG42,31-Jan-19,04-Apr-23
Macimorelin for diagnosing growth hormone deficiency,MIB320,28-Mar-23,28-Mar-23
Acute kidney injury,QS76,22-Dec-14,23-Mar-23
Finerenone for treating chronic kidney disease in type 2 diabetes,TA877,23-Mar-23,23-Mar-23
Nivolumab with chemotherapy for neoadjuvant treatment of resectable non-small-cell lung cancer,TA876,22-Mar-23,22-Mar-23
CaRi-Heart for predicting cardiac risk in suspected coronary artery disease: early value assessment,HTE4,09-Mar-23,09-Mar-23
Type 1 diabetes in adults,QS208,02-Mar-23,02-Mar-23
Type 2 diabetes in adults,QS209,02-Mar-23,02-Mar-23
Eptinezumab for preventing migraine,TA871,01-Mar-23,01-Mar-23
Cannabidiol for treating seizures caused by tuberous sclerosis complex,TA873,01-Mar-23,01-Mar-23
Polatuzumab vedotin in combination for untreated diffuse large B-cell lymphoma,TA874,01-Mar-23,01-Mar-23
Asfotase alfa for treating paediatric-onset hypophosphatasia,HST23,01-Mar-23,01-Mar-23
Endoluminal gastroplication for gastro-oesophageal reflux disease,IPG753,01-Mar-23,01-Mar-23
Percutaneous transluminal renal sympathetic denervation for resistant hypertension,IPG754,01-Mar-23,01-Mar-23
Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,TA872,28-Feb-23,28-Feb-23
Ixazomib with lenalidomide and dexamethasone for treating relapsed or refractory multiple myeloma,TA870,22-Feb-23,22-Feb-23
Ataluren for treating Duchenne muscular dystrophy with a nonsense mutation in the dystrophin gene,HST22,22-Feb-23,22-Feb-23
"LIVERFASt for assessing and monitoring liver fibrosis, activity and steatosis",MIB317,21-Feb-23,21-Feb-23
Mitapivat for treating pyruvate kinase deficiency (terminated appraisal),TA867,16-Feb-23,16-Feb-23
Vutrisiran for treating hereditary transthyretin-related amyloidosis,TA868,15-Feb-23,15-Feb-23
Urinary tract infections in adults,QS90,11-Jun-15,15-Feb-23
Ambu aScope 4 RhinoLaryngo for visualising upper airways during rhinolaryngoscopy,MIB316,14-Feb-23,14-Feb-23
Antenatal care,QS22,17-Sep-12,14-Feb-23
"Nivolumab with fluoropyrimidine- and platinum-based chemotherapy for untreated unresectable advanced, recurrent, or metastatic oesophageal squamous cell carcinoma",TA865,08-Feb-23,08-Feb-23
Regorafenib for previously treated metastatic colorectal cancer,TA866,08-Feb-23,08-Feb-23
Barrett's oesophagus and stage 1 oesophageal adenocarcinoma: monitoring and management,NG231,08-Feb-23,08-Feb-23
Transvenous obliteration for gastric varices,IPG751,07-Feb-23,07-Feb-23
Biodegradable spacer insertion to reduce rectal toxicity during radiotherapy for prostate cancer,IPG752,07-Feb-23,07-Feb-23
Upadacitinib for treating active non-radiographic axial spondyloarthritis,TA861,01-Feb-23,01-Feb-23
Trastuzumab deruxtecan for treating HER2-positive unresectable or metastatic breast cancer after 1 or more anti-HER2 treatments,TA862,01-Feb-23,01-Feb-23
Somatrogon for treating growth disturbance in children and young people aged 3 years and over,TA863,01-Feb-23,01-Feb-23
Nintedanib for treating idiopathic pulmonary fibrosis when forced vital capacity is above 80% predicted,TA864,01-Feb-23,01-Feb-23
Aquablation robotic therapy for lower urinary tract symptoms caused by benign prostatic hyperplasia,MIB315,31-Jan-23,31-Jan-23
Maribavir for treating refractory cytomegalovirus infection after transplant,TA860,18-Jan-23,18-Jan-23
"Delirium: prevention, diagnosis and management in hospital and long-term care",CG103,28-Jul-10,18-Jan-23
Trabeculectomy with a biodegradable collagen matrix implant for glaucoma,IPG750,17-Jan-23,17-Jan-23
Ambu aScope 4 Broncho for routine diagnostic and therapeutic bronchoscopy,MIB314,17-Jan-23,17-Jan-23
Angiotensin II for treating vasosuppressor-resistant hypotension caused by septic or distributive shock (terminated appraisal),TA859,16-Jan-23,16-Jan-23
"Disabled children and young people up to 25 with severe complex needs: integrated service delivery and organisation across health, social care and education",NG213,09-Mar-22,13-Jan-23
MRI-based technologies for assessing non-alcoholic fatty liver disease,DG50,12-Jan-23,12-Jan-23
"Nivolumab with platinum- and fluoropyrimidine-based chemotherapy for untreated HER2-negative advanced gastric, gastro-oesophageal junction or oesophageal adenocarcinoma",TA857,11-Jan-23,11-Jan-23
Lenvatinib with pembrolizumab for untreated advanced renal cell carcinoma,TA858,11-Jan-23,11-Jan-23
Laparoscopic insertion of a magnetic ring for gastro-oesophageal reflux disease,IPG749,11-Jan-23,11-Jan-23
Transcutaneous electrical stimulation of the trigeminal nerve for ADHD,IPG748,11-Jan-23,11-Jan-23
PredictSURE IBD for inflammatory bowel disease prognosis: ulcerative colitis,MIB313,10-Jan-23,10-Jan-23
Diabetes in pregnancy,QS109,19-Jan-16,10-Jan-23
Chronic heart failure in adults,QS9,29-Jun-11,10-Jan-23
Hip fracture: management,CG124,22-Jun-11,06-Jan-23
Hip fracture in adults,QS16,27-Mar-12,06-Jan-23
Upadacitinib for treating moderately to severely active ulcerative colitis,TA856,04-Jan-23,04-Jan-23
Percutaneous image-guided cryoablation of peripheral neuroma for chronic pain,IPG747,04-Jan-23,04-Jan-23
Thyroid cancer: assessment and management,NG230,19-Dec-22,19-Dec-22
Avatrombopag for treating primary chronic immune thrombocytopenia,TA853,15-Dec-22,15-Dec-22
Tobacco: treating dependence,QS207,15-Dec-22,15-Dec-22
Cabozantinib for previously treated advanced hepatocellular carcinoma,TA849,14-Dec-22,14-Dec-22
Amivantamab for treating EGFR exon 20 insertion mutation-positive advanced non-small-cell lung cancer after platinum-based chemotherapy,TA850,14-Dec-22,14-Dec-22
Pembrolizumab for neoadjuvant and adjuvant treatment of triple-negative early or locally advanced breast cancer,TA851,14-Dec-22,14-Dec-22
Trifluridine–tipiracil for treating metastatic gastric cancer or gastro-oesophageal junction adenocarcinoma after 2 or more treatments,TA852,14-Dec-22,14-Dec-22
